[INFO ] [Thread:main] 2018-12-31 11:48:25,580 testcore.scenarios.SupportTest.runOncePerSuite:L30 - Central setup completed.
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,544 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.releaseConnection:L320 - Connection [id: 0][route: {}->http://localhost:4693] can be kept alive indefinitely
[DEBUG] [Thread:Forwarding newSession on session null to remote] 2018-12-31 11:48:35,544 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.releaseConnection:L326 - Connection released: [id: 0][route: {}->http://localhost:4693][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,607 org.apache.http.client.protocol.RequestAddCookies.process:L123 - CookieSpec selected: default
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,607 org.apache.http.client.protocol.RequestAuthCache.process:L77 - Auth cache not set in the context
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,607 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.requestConnection:L255 - Connection request: [route: {}->http://localhost:4693][total kept alive: 1; route allocated: 1 of 2000; total allocated: 1 of 2000]
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,607 org.apache.http.impl.conn.PoolingHttpClientConnectionManager.leaseConnection:L288 - Connection leased: [id: 0][route: {}->http://localhost:4693][total kept alive: 0; route allocated: 1 of 2000; total allocated: 1 of 2000]
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,607 org.apache.http.impl.execchain.MainClientExec.execute:L208 - Stale connection check
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.conn.Wire.wire:L87 - http-outgoing-0 << "[read] I/O error: Read timed out"
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.setSocketTimeout:L88 - http-outgoing-0: set socket timeout to 10800000
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.execchain.MainClientExec.execute:L256 - Executing request POST /session/ebf4d99dbe26378ca1f44c06f16bfee7/window/current/size HTTP/1.1
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.execchain.MainClientExec.execute:L261 - Target auth state: UNCHALLENGED
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.execchain.MainClientExec.execute:L267 - Proxy auth state: UNCHALLENGED
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L133 - http-outgoing-0 >> POST /session/ebf4d99dbe26378ca1f44c06f16bfee7/window/current/size HTTP/1.1
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Content-Type: application/json; charset=utf-8
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Content-Length: 72
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Host: localhost:4693
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Connection: Keep-Alive
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> User-Agent: Apache-HttpClient/4.5.3 (Java/1.8.0_172)
[DEBUG] [Thread:Forwarding setCurrentWindowSize on session ebf4d99dbe26378ca1f44c06f16bfee7 to remote] 2018-12-31 11:48:36,622 org.apache.http.impl.conn.LoggingManagedHttpClientConnection.onRequestSubmitted:L136 - http-outgoing-0 >> Accept-Encoding: gzip,deflate
